Jugador,market_value_pred
Mikkel Kaufmann,-3894833.9876411166
Marnon Busch,3131476.439458914
Silvan Widmer,-9264699.78227264
Florian Muller,10067618.545619568
Marnon Busch,6888487.467638871
Silvan Widmer,3758823.083170809
Silvan Widmer,1601978.8790237112
Marnon Busch,9648626.114838466
Mikkel Kaufmann,270012.14892680943
Silvan Widmer,-3425748.755524436
Silvan Widmer,-3230803.587495327
Florian Muller,18194462.54273036
Florian Muller,15414111.674160782
Marnon Busch,15848634.496468704
Marnon Busch,3712304.2981812237
Marnon Busch,5369868.102431709
Silvan Widmer,-4861404.513749657
Silvan Widmer,-4530977.616867194
Marnon Busch,9877332.058411367
Silvan Widmer,7203005.051696713
Florian Muller,6890978.841487059
Silvan Widmer,-8026178.422473073
Mikkel Kaufmann,11253976.595191704
Marnon Busch,12258160.837796636
Silvan Widmer,-3922274.769015938
Marnon Busch,7335789.359830373
Silvan Widmer,-3323399.1677030735
Silvan Widmer,-757562.2836789489
Marnon Busch,16286114.006533865
Mikkel Kaufmann,9528436.042872986
Marnon Busch,18679525.138606906
Mikkel Kaufmann,-492595.36472511664
Silvan Widmer,-2103295.0458573345
Silvan Widmer,-2942431.0588953663
Silvan Widmer,-5445722.318235623
Marnon Busch,9370289.031168483
Marnon Busch,4709992.743673188
Marnon Busch,35189939.93631414
Mikkel Kaufmann,6375068.360470643
Marnon Busch,884345.3875367567
Mikkel Kaufmann,11646761.729642835
Marnon Busch,7673979.089179692
Silvan Widmer,-5047972.679765282
Marnon Busch,4123033.9751666337
Marnon Busch,29543290.686329875
Florian Muller,14401006.516935613
Silvan Widmer,-6588469.928409586
Silvan Widmer,-4315786.542389898
Silvan Widmer,3959873.177161281
Florian Muller,16729368.113292243
Silvan Widmer,-2934186.654064063
Marnon Busch,5050561.843709642
Marnon Busch,15596393.568812305
Mikkel Kaufmann,11425336.905889014
Silvan Widmer,-4923841.997350344
Marnon Busch,15513601.707396418
Silvan Widmer,-8784778.277787589
Marnon Busch,1575326.981977962
Florian Muller,11461986.352171121
Silvan Widmer,4048935.1128853178
Florian Muller,12770168.948716493
Silvan Widmer,1399461.987837215
Silvan Widmer,-4294063.024176063
Karol Mets,4855377.746014794
Karol Mets,35802003.98197852
Karol Mets,3589843.695673691
Karol Mets,2897348.092066651
Karol Mets,17576297.029601425
Karol Mets,18021478.308639552
Karol Mets,14343107.356336273
Karol Mets,17948536.107345946
Karol Mets,30940208.490589477
Karol Mets,12262169.458201062
Jonas Fohrenbach,1542961.0489400355
Maximilian Breunig,1321535.3024863116
Danny da Costa,29539845.82234313
Maxim Leitsch,40083083.02993736
Nikolas Veratschnig,-2834379.8900146
Lukas Kubler,10858287.409999425
Jeffrey Gouweleeuw,13429140.81159607
Jonas Fohrenbach,18614255.150322974
Hauke Wahl,29466306.218296938
Luca Kerber,12344669.431594089
Maximilian Breunig,11880787.245088568
Sirlord Conteh,11169060.369213186
Jonas Fohrenbach,-1329078.5790899787
Sirlord Conteh,-13105877.352532491
Danel Sinani,24164253.84955219
Leonardo Bittencourt,-1169007.4540894702
Jonas Fohrenbach,25720864.65836865
Hauke Wahl,4000726.1111988686
Hauke Wahl,21626572.647476193
Danel Sinani,29124022.450312983
Danel Sinani,7735674.620568066
Lukas Kubler,18660971.6038578
Lukas Kubler,3499026.560980877
Leonardo Bittencourt,32287174.560002025
Danny da Costa,3561383.5857273424
Danel Sinani,1276933.0096648196
Hauke Wahl,32108360.117712654
Hauke Wahl,32229658.29725114
Sirlord Conteh,24763112.19648712
Leonardo Bittencourt,4545464.353593088
Leonardo Bittencourt,1040904.4047935177
Julian Niehues,4586041.11185343
Luca Kerber,2663752.845007713
Sirlord Conteh,-5327770.062181244
Luca Kerber,2338355.953754074
Jeffrey Gouweleeuw,30805537.249089047
Tiago Cardoso,11628265.451730765
Maximilian Breunig,-284343.4122432247
Maximilian Breunig,6682684.141705006
Sirlord Conteh,12352506.551868774
Danny da Costa,12183229.580574047
Jeffrey Gouweleeuw,22011818.1886315
Lukas Kubler,20578564.002860874
Danny da Costa,9117547.951910693
Hauke Wahl,17303852.853605434
Yusuf Kabadayı,1542084.8101103157
Jeffrey Gouweleeuw,36820481.63877758
Jeffrey Gouweleeuw,25377017.84579535
Jeffrey Gouweleeuw,-1490931.2747352906
Lukas Kubler,29646966.532046318
Lukas Kubler,4828330.919030372
Danel Sinani,-41448.22935555689
Danel Sinani,-4358368.483322747
Hauke Wahl,27639432.900756363
Tiago Cardoso,29616448.596185412
Cole Campbell,864124.9360091966
Julian Niehues,4708510.7745077815
Jonas Fohrenbach,13238873.516829098
Luca Kerber,16617054.770419134
Jeffrey Gouweleeuw,14548418.083858058
Leonardo Bittencourt,18697890.504785232
Jeffrey Gouweleeuw,47398941.75631512
Leonardo Bittencourt,7973731.784556461
Tiago Cardoso,31752836.012537006
Danny da Costa,10948932.674467286
Danel Sinani,19312923.123563014
Nikolas Veratschnig,-1488207.8007648867
David Odogu,21340992.644376144
Hauke Wahl,39317903.02398437
Leonardo Bittencourt,2211419.8163352525
Jeffrey Gouweleeuw,24774728.094183046
Jonas Fohrenbach,21395742.735023797
David Odogu,19294163.64340868
Marius Muller,17760398.204654958
Sirlord Conteh,-1943646.5248463824
David Odogu,21248364.68004802
Lukas Kubler,27115927.028987534
Maxim Leitsch,-1499151.7528186906
Leonardo Bittencourt,11827183.047213588
Jeffrey Gouweleeuw,21086397.47203537
Lukas Kubler,22299182.088710688
Danny da Costa,8386576.578427246
Nikolas Veratschnig,-1175129.6177626848
Leonardo Bittencourt,30338818.153907422
Danny da Costa,24692385.836913504
Lukas Kubler,18135144.32730011
Lukas Kubler,-8991586.333841987
Danel Sinani,-4002030.3369504455
Danny da Costa,6181843.93224024
Jeffrey Gouweleeuw,16583171.629244491
Jeffrey Gouweleeuw,14024987.712393245
Julian Niehues,24481415.6298931
Danny da Costa,22762077.816955682
Hauke Wahl,11288125.761811787
Luca Kerber,33932739.098860145
Jeffrey Gouweleeuw,16032599.383139228
Danel Sinani,32685640.03427897
Maxim Leitsch,1199435.7259947732
Luca Kerber,7110038.382572264
Leonardo Bittencourt,-138261.97014147043
Danny da Costa,4996030.217490811
Hauke Wahl,29081770.758819543
Danel Sinani,13770032.88152786
Sirlord Conteh,22225.396098095924
Jonas Fohrenbach,15662662.123208154
Tiago Cardoso,10461220.392134544
Jeffrey Gouweleeuw,16925418.292139847
Yusuf Kabadayı,6651751.663002973
Jeffrey Gouweleeuw,23847411.05407582
Leonardo Bittencourt,17763259.986919217
Jeffrey Gouweleeuw,16935472.61050061
Hauke Wahl,-3613120.5303684063
Sirlord Conteh,6920083.963188295
Danny da Costa,454172.54705648497
Lukas Kubler,22326193.401177082
Jeffrey Gouweleeuw,26985566.21520015
Tiago Cardoso,8821537.138106026
Jeffrey Gouweleeuw,10833340.164546864
Maxim Leitsch,-460412.5108836293
Jeffrey Gouweleeuw,15176772.321520388
Maxim Leitsch,31234877.162233792
Nikolas Veratschnig,15477537.737040669
Maxim Leitsch,31120013.902739387
Leonardo Bittencourt,7618987.722591315
Marius Muller,18845367.326413117
Danny da Costa,5309616.552164309
Yusuf Kabadayı,14227272.078415439
Sirlord Conteh,12753643.629970688
Lukas Kubler,8782988.712174492
Luca Kerber,180271.30426543765
Maximilian Breunig,23046824.527702115
Jonas Fohrenbach,4731952.958151249
Danel Sinani,19403072.377827585
Danel Sinani,14283985.093896747
Lukas Kubler,7747800.776348628
Hauke Wahl,14075435.096399872
Hauke Wahl,17065680.01785563
Leonardo Bittencourt,24516600.92949208
Lukas Kubler,7702772.018130974
Nikolas Veratschnig,7219514.884788644
Nikolas Veratschnig,-936572.2589586936
Lukas Kubler,-6332749.912901176
Danel Sinani,-3424725.0123103857
Danny da Costa,33840668.60826072
Marius Muller,11414695.017872147
Danny da Costa,23328001.280526776
Jeffrey Gouweleeuw,11661411.811310276
Nikolas Veratschnig,5727821.970901215
Cole Campbell,2671097.9782973677
Jonas Fohrenbach,4628904.066401124
Maximilian Breunig,-1345905.4559470005
Nikolas Veratschnig,5890279.30678434
Luca Kerber,-2099613.31545691
Sirlord Conteh,21705454.186485954
Sirlord Conteh,785742.3725166135
Jeffrey Gouweleeuw,7599477.171722613
Hauke Wahl,38118572.67117719
Leonardo Bittencourt,6126061.889280675
Danel Sinani,3078007.5431255437
Sirlord Conteh,14038841.33506234
Jonas Fohrenbach,4054106.2043990325
Lukas Kubler,19638492.2288815
Jonas Fohrenbach,5890213.309100293
Lukas Kubler,25988145.539179705
Luca Kerber,1556517.9593123924
Nikolas Veratschnig,-2434347.5970353708
Jonas Fohrenbach,8199685.297174195
Luca Kerber,-2556983.2167120986
Maxim Leitsch,3559162.3930891072
Sirlord Conteh,8860834.086813018
Hauke Wahl,8383402.371759367
Jeffrey Gouweleeuw,6350297.536544924
Lukas Kubler,11415705.818454519
Luca Kerber,1776356.6361104418
Jonas Fohrenbach,4323240.0969894985
Lukas Kubler,14851481.71830925
Jeffrey Gouweleeuw,7257655.787933884
Maxim Leitsch,1492391.86866357
Danny da Costa,552059.5594255626
Maxim Leitsch,1527260.0629227012
Hauke Wahl,35427221.14116178
Yusuf Kabadayı,3005673.02130682
Danel Sinani,1001092.9162515514
Hauke Wahl,31530132.103154123
Danel Sinani,-1962783.877230335
Luca Kerber,466394.39056876674
Julian Niehues,-3505937.1710489467
Nikolas Veratschnig,12635338.653498225
Sirlord Conteh,3027281.962924687
Jonas Fohrenbach,2824943.901772687
Cole Campbell,8297354.496804947
Danny da Costa,14769945.909372697
Danny da Costa,9464456.12159917
Sirlord Conteh,-1417378.0329811666
Luca Kerber,5476526.14516464
Leonardo Bittencourt,28378331.760819107
Jonas Fohrenbach,-30459.87291532196
Sirlord Conteh,5962801.97722852
Nikolas Veratschnig,9749741.349966018
Danny da Costa,17396648.25212925
Lukas Kubler,15369132.875134422
Danel Sinani,362325.14605442435
Hauke Wahl,10641799.520446274
Jeffrey Gouweleeuw,12152360.368389858
Luca Kerber,-1540823.6407822054
Sirlord Conteh,7400996.435684417
Leonardo Bittencourt,9786717.976178456
Danny da Costa,3839790.7047916837
Jonas Fohrenbach,3197849.5164493453
Maximilian Breunig,8068091.977115294
Sirlord Conteh,7260961.628436627
Lukas Kubler,13299820.211911445
Jeffrey Gouweleeuw,6375555.194411192
Danel Sinani,6622304.8528071325
Hauke Wahl,14396602.506128168
Leonardo Bittencourt,7578637.671741694
Jeffrey Gouweleeuw,29866837.74737987
Marius Muller,8275069.985214481
Hauke Wahl,17707220.43395009
Maxim Leitsch,4245038.889816285
Maximilian Breunig,18371716.453516617
Jonas Fohrenbach,3132622.731812902
Danel Sinani,524084.1583984252
Hauke Wahl,19468839.54886312
Jonas Fohrenbach,3921503.9630605485
Jonas Fohrenbach,24225364.562937647
Maxim Leitsch,8491481.72412638
Danel Sinani,-1718222.3607713245
Hauke Wahl,18613335.942505397
Hauke Wahl,8342772.820547634
Jeffrey Gouweleeuw,7858799.779677404
Danel Sinani,21535942.204290126
Hauke Wahl,29891614.797369793
Hauke Wahl,49448155.08774657
Sirlord Conteh,-1517356.7162047084
Julian Niehues,1317553.0054550935
Jonas Fohrenbach,12659695.801410079
Danel Sinani,4859005.846681121
Danel Sinani,11509358.531512955
Hauke Wahl,10043162.104310632
Danny da Costa,17863395.4532483
Jonas Fohrenbach,23828962.022601396
Sirlord Conteh,5783203.63097894
Luca Kerber,4996005.873162046
Maximilian Breunig,4409677.337292684
Maximilian Breunig,10993424.592728468
Hauke Wahl,26473341.533362076
Sirlord Conteh,8683174.131324435
Leonardo Bittencourt,2084891.9783278555
Jeffrey Gouweleeuw,23791545.017673977
Cole Campbell,9286072.10988114
Hauke Wahl,-782305.70839696
Leonardo Bittencourt,16508487.731273055
Jeffrey Gouweleeuw,40308509.716170296
Leonardo Bittencourt,9632494.451604242
Sirlord Conteh,-27917.069700360298
Luca Kerber,18431046.55961568
Jeffrey Gouweleeuw,38771689.57406299
Maxim Leitsch,8280184.316390436
Hauke Wahl,9365217.349134253
Lukas Kubler,6683264.347493898
Lukas Kubler,5291937.337133863
Hauke Wahl,30706529.521912668
Nikolas Veratschnig,480929.6566370204
Sirlord Conteh,-1222866.519126065
Lukas Kubler,19889353.25612223
Leonardo Bittencourt,8550429.746268962
Marius Muller,6814135.569743991
Maximilian Breunig,8082827.042584521
Luca Kerber,5779027.878915316
Danel Sinani,1096647.4834588096
Yusuf Kabadayı,-3307166.1218827404
Danny da Costa,3299554.9536411148
Danny da Costa,7623833.393299869
Hauke Wahl,15397611.231811695
Sirlord Conteh,9027948.930286733
Leonardo Bittencourt,26882589.773225006
Leonardo Bittencourt,10837863.38520516
Nikolas Veratschnig,1829607.0929047717
Nikolas Veratschnig,214836.8083322961
Jonas Fohrenbach,3330294.94422327
Luca Kerber,7744728.207054076
Leonardo Bittencourt,679597.5985130481
Sirlord Conteh,6672714.134442325
Lukas Kubler,15046063.282238863
Julian Niehues,5723173.439112036
Jonas Fohrenbach,3682317.9492389075
Jeffrey Gouweleeuw,40156016.32911578
Maxim Leitsch,11387109.038399216
Danny da Costa,5580045.959562675
Danny da Costa,22784867.69532542
Danny da Costa,8054791.502427196
Sirlord Conteh,16273355.408456177
Luca Kerber,3841296.5530795557
Nikolas Veratschnig,-635622.1209648326
Jonas Fohrenbach,7280910.558490729
Leonardo Bittencourt,8366959.218013515
Jeffrey Gouweleeuw,10814499.94733656
Jeffrey Gouweleeuw,12180000.196056472
Lukas Kubler,10371293.364451468
Leonardo Bittencourt,22237351.459990356
Luca Kerber,-3884320.7388784736
Lukas Kubler,9782195.761608958
Julian Niehues,11843892.67148165
Marius Muller,15130818.107085945
Julian Niehues,5573734.405875841
Jonas Fohrenbach,8835709.811908267
Jonas Fohrenbach,6351505.139747647
Sirlord Conteh,43453920.58951184
Leonardo Bittencourt,17640977.359215476
Luca Kerber,10216028.739209842
Maximilian Breunig,31778965.846859172
Maxim Leitsch,5498138.371045704
Jonas Fohrenbach,5927558.0328992605
Hauke Wahl,60872601.3656618
Maximilian Breunig,8342419.726450681
Danel Sinani,2271329.744104893
Sirlord Conteh,5250778.281396738
Luca Kerber,1724237.9439739864
Sirlord Conteh,10028109.934485143
Luca Kerber,-2473475.205984149
Lukas Kubler,12123851.357215766
Danel Sinani,2624604.225768121
Hauke Wahl,13622714.155051703
Phillipp Mwene,13002168.675636057
Phillipp Mwene,-497729.8253941182
Phillipp Mwene,-132849.80786216073
Phillipp Mwene,9553293.012141831
Phillipp Mwene,16597213.087120585
Phillipp Mwene,8527287.758907042
Phillipp Mwene,2706479.183597776
Phillipp Mwene,-1631959.356856266
Phillipp Mwene,13172393.25243934
Phillipp Mwene,10121261.478023008
Phillipp Mwene,-917473.839891132
Phillipp Mwene,20397801.727604035
Phillipp Mwene,11272506.154369842
Phillipp Mwene,6299085.480080841
Phillipp Mwene,12206728.649586946
Phillipp Mwene,19844729.62323357
Phillipp Mwene,11230494.656883512
Phillipp Mwene,-10887347.385089789
Phillipp Mwene,-2386107.4107310977
Phillipp Mwene,61595183.51969122
Phillipp Mwene,9239289.679151243
Phillipp Mwene,-7051953.690581042
Phillipp Mwene,3336047.7186900945
Phillipp Mwene,4618956.2432811055
Phillipp Mwene,5812694.602495695
Phillipp Mwene,15515654.73207865
Phillipp Mwene,879416.6304625254
Phillipp Mwene,10873277.87656068
Phillipp Mwene,3104541.5901036877
Phillipp Mwene,17507641.69514356
Phillipp Mwene,9849299.98789642
Phillipp Mwene,14358442.36003361
Nelson Weiper,7329237.389717376
Gift Orban,3189126.8187926365
Nnamdi Collins,10501493.055761456
Nnamdi Collins,18106953.98739045
Joe Scally,38904580.22366677
Gift Orban,-5208606.584927745
Nordi Mukiele,6899098.441024438
Kosta Nedeljkovic,8518009.1123348
Josha Vagnoman,7627831.869358136
Gift Orban,17165725.73156109
Anthony Rouault,10459946.134121045
Tom Rothe,6180742.871169522
Gift Orban,7085383.374208843
Maximilian Eggestein,23390700.40064304
Nelson Weiper,3399948.208436437
Josha Vagnoman,32618879.305578575
Tom Rothe,-1929206.8209304232
Patrick Osterhage,8486450.294830969
Nelson Weiper,-1969633.594083488
Joe Scally,21510559.34196075
Nnamdi Collins,19366752.69620754
Patrick Osterhage,22034946.001412958
Joe Scally,27962200.313280527
Nnamdi Collins,5567590.684522931
Anthony Rouault,15697103.118355291
Anthony Rouault,14687405.349385098
Joe Scally,23661578.41584406
Maximilian Eggestein,7459220.2115446385
Joe Scally,16583035.381016998
Josha Vagnoman,5775177.878977179
Tom Rothe,4551212.886584416
Nelson Weiper,486445.3443192579
Patrick Osterhage,3647512.26058505
Joe Scally,10854055.74583869
Maximilian Eggestein,18524151.069796477
Nelson Weiper,16766088.13911504
Patrick Osterhage,15083639.009416958
Nordi Mukiele,-170802.15341698006
Anthony Rouault,12290826.338843044
Nelson Weiper,10679917.539971527
Nelson Weiper,-4060732.5878565945
Tom Rothe,-9433593.465066452
Tom Rothe,4618269.811711302
Josha Vagnoman,6151943.107667383
Nelson Weiper,3746130.788483532
Nelson Weiper,1159171.0660448205
Nnamdi Collins,5246566.730801828
Josha Vagnoman,18064577.392968275
Nnamdi Collins,50175454.31438738
Josha Vagnoman,17812889.168779038
Nordi Mukiele,23663693.336573288
Maximilian Eggestein,19950813.911803965
Josha Vagnoman,39396552.530148014
Gift Orban,9568796.55071159
Nordi Mukiele,18059307.902569797
Nnamdi Collins,29982317.008321047
Maximilian Eggestein,26972075.915487207
Patrick Osterhage,12692415.889830822
Joe Scally,16705940.816914776
Nordi Mukiele,27253313.92631101
Kosta Nedeljkovic,7878102.934133304
Tom Rothe,10340834.633870156
Josha Vagnoman,12707470.039954165
Maximilian Eggestein,22529289.514221054
Nordi Mukiele,54719441.655839376
Nnamdi Collins,7998301.870912663
Josha Vagnoman,6603093.163736969
Anthony Rouault,6563791.666112378
Patrick Osterhage,12286378.57057323
Tom Rothe,2255942.33872131
Gift Orban,9159342.533369755
Nnamdi Collins,26258777.456688777
Joe Scally,16916579.361063164
Nordi Mukiele,-3841576.3005582187
Tom Rothe,16104680.109190956
Maximilian Eggestein,28263376.246275198
Patrick Osterhage,15402672.786021918
Josha Vagnoman,17560857.347474225
Maximilian Eggestein,21336017.058207374
Tom Rothe,9997816.248936288
Patrick Osterhage,9090853.800751297
Gift Orban,26419689.86051452
Joe Scally,29414664.21695739
Maximilian Eggestein,25608852.871502753
Patrick Osterhage,18381424.936945952
Maximilian Eggestein,23930170.113322213
Patrick Osterhage,18292239.3209875
Kosta Nedeljkovic,156768.61727268994
Maximilian Eggestein,12719530.612882396
Nordi Mukiele,2322603.2821709504
Nelson Weiper,11266665.461844958
Anthony Rouault,1008421.0659045577
Josha Vagnoman,1877527.3278909177
Maximilian Eggestein,33943287.93752452
Joe Scally,18457318.372875795
Gift Orban,12691986.30376095
Maximilian Eggestein,8245375.823378748
Xaver Schlager,-3488496.495780349
Tom Rothe,14856914.958831886
Nnamdi Collins,11658158.876034994
Joe Scally,4990785.377294419
Kosta Nedeljkovic,-4290243.974235263
Patrick Osterhage,13258952.060648266
Josha Vagnoman,7994816.42643916
Maximilian Eggestein,11717030.795488834
Nnamdi Collins,22823739.675066162
Maximilian Eggestein,25570090.90478537
Maximilian Eggestein,14873538.433969503
Patrick Osterhage,29421535.902100906
Patrick Osterhage,12624584.105084658
Patrick Osterhage,3425693.9425792526
Anthony Rouault,24758916.24031301
Josha Vagnoman,24164583.927512333
Nnamdi Collins,39955621.11828323
Gift Orban,2936549.601251887
Nelson Weiper,21979852.91353541
Tom Rothe,-937086.4923856854
Joe Scally,30694789.43839565
Joe Scally,21521365.616171442
Nelson Weiper,19345022.86683254
Anthony Rouault,-340867.11675899103
Josha Vagnoman,40378837.9615462
Nnamdi Collins,9747859.472505081
Joe Scally,15015766.268553507
Kosta Nedeljkovic,15292157.972349903
Patrick Osterhage,6569253.756653348
Maximilian Eggestein,25089698.944585934
Maximilian Eggestein,33823159.27713213
Anthony Rouault,-2501232.7595257796
Nelson Weiper,30315262.128658812
Josha Vagnoman,10167211.665924355
Anthony Rouault,11253281.764962561
Patrick Osterhage,5185372.754004782
Joe Scally,6503297.427712259
Patrick Osterhage,22900282.966919873
Maximilian Eggestein,46722633.41107313
Tom Rothe,14617406.57681659
Josha Vagnoman,21231993.016883027
Nordi Mukiele,-2926844.6155320983
Patrick Osterhage,17252385.26921363
Josha Vagnoman,3675978.2504537078
Nelson Weiper,4435114.631587618
Josha Vagnoman,1605640.7405578885
Tom Rothe,16124544.106248986
Maximilian Eggestein,13969820.453964906
Patrick Osterhage,7647584.88084396
Maximilian Eggestein,32528719.190935247
Patrick Osterhage,3598038.9020882677
Nnamdi Collins,4220987.289416484
Kosta Nedeljkovic,2799705.6463721097
Kosta Nedeljkovic,-1309412.6634358633
Anthony Rouault,9060778.817153875
Anthony Rouault,13486750.788980164
Maximilian Eggestein,23682378.647173755
Patrick Osterhage,16752149.365124865
Josha Vagnoman,3765649.923633511
Joe Scally,15905133.642951682
Tom Rothe,15863250.571134847
Joe Scally,9722298.275021773
Anthony Rouault,10329806.594487723
Josha Vagnoman,9905277.06413936
Nnamdi Collins,44159572.38397684
Tom Rothe,25952650.17097558
Nnamdi Collins,18396551.173963774
Joe Scally,29151642.767542288
Joe Scally,45266146.66611952
Tom Rothe,20476284.043730237
Joe Scally,22401751.401766792
Gift Orban,14630925.647122886
Tom Rothe,15304505.986439781
Tom Rothe,5377929.328747337
Tom Rothe,6118552.773327137
Tom Rothe,40160794.624626905
Nnamdi Collins,5197322.710399995
Nelson Weiper,-725835.4721636921
Joe Scally,18534246.12587954
Josha Vagnoman,13070810.984265216
Anthony Rouault,26065204.019901477
Nnamdi Collins,6660280.453239736
Joe Scally,11204538.198877828
Joe Scally,16335192.300725644
Nnamdi Collins,180271.30426543765
Nelson Weiper,1584470.0834014416
Nordi Mukiele,-2381322.250958372
Maximilian Eggestein,13106747.805704564
Patrick Osterhage,31931378.01876452
Joe Scally,28323609.995323755
Joe Scally,16205479.88208851
Nnamdi Collins,8047227.131523539
Nelson Weiper,32579933.312898576
Nnamdi Collins,21326792.878148742
Joe Scally,28456257.392047595
Nordi Mukiele,-6030356.31790242
Nelson Weiper,6959599.641645849
Anthony Rouault,11445852.394798923
Maximilian Eggestein,19586633.263790928
Patrick Osterhage,13068681.194941448
Nordi Mukiele,9383525.937801996
Joe Scally,12452546.53166118
Nordi Mukiele,27456766.266224995
Tom Rothe,23393337.948545285
Anthony Rouault,-1651245.6281796228
Nordi Mukiele,3358683.1176211126
Josha Vagnoman,16863032.082817405
Joe Scally,8755735.504359286
Gift Orban,-897793.9991573431
Nelson Weiper,-8670003.653639238
Maximilian Eggestein,18173446.683200426
Joe Scally,29543450.0527296
Kosta Nedeljkovic,361454.0136333406
Joe Scally,18640301.86133138
Maximilian Eggestein,10964541.953081964
Nnamdi Collins,6202609.169438785
Nordi Mukiele,38286536.04319316
Maximilian Eggestein,11352043.396700785
Kosta Nedeljkovic,16689494.510490213
Nnamdi Collins,37353195.216754645
Patrick Osterhage,22943941.37235931
Tom Rothe,32221221.410637468
Patrick Osterhage,31644294.831496824
Maximilian Eggestein,24548715.84645987
Maximilian Eggestein,45709969.89741941
Patrick Osterhage,11407997.957133217
Patrick Osterhage,21165724.43874214
Kosta Nedeljkovic,20638287.45496305
Joe Scally,20020019.51445397
Josha Vagnoman,9017621.022561066
Tom Rothe,8503364.923643384
Xaver Schlager,12998655.665061697
Gift Orban,1636852.6555707324
Josha Vagnoman,8313486.905059236
Maximilian Eggestein,17698491.105609253
Anthony Rouault,31131654.3762743
Tom Rothe,-4528933.621438444
Patrick Osterhage,22240960.002783816
Nelson Weiper,3088881.070970474
Patrick Osterhage,26550574.33904478
Maximilian Eggestein,21236426.804833546
Nelson Weiper,2076227.0625361335
Tom Rothe,21467850.479606815
Xaver Schlager,28198958.762106873
Josha Vagnoman,21384294.792484533
Tom Rothe,3546796.8938791035
Nelson Weiper,2436575.179102905
Maximilian Eggestein,2856288.682059044
Gift Orban,-2912866.8769377265
Nnamdi Collins,1418105.7324001659
Anthony Rouault,18979186.103676856
Xaver Schlager,-1588170.0601998623
Joe Scally,14737088.160496358
Patrick Osterhage,25675495.97293683
Nelson Weiper,11365626.35173236
Josha Vagnoman,17127974.275926992
Maximilian Eggestein,21414434.655748107
Michael Olise,25703156.20204375
Michael Olise,46171135.44776373
Michael Olise,19385099.06499761
Michael Olise,53693088.96662582
Michael Olise,40268793.12280074
Michael Olise,60658327.4732547
Michael Olise,17175650.03454195
Michael Olise,22915434.098974876
Michael Olise,19807959.74398009
Michael Olise,24792368.062728774
Michael Olise,11962836.36579215
Michael Olise,42358568.67065892
Michael Olise,19640488.456887156
Michael Olise,60262093.16275424
Michael Olise,1069275.0733959712
Michael Olise,57823277.619968146
Michael Olise,49769562.81081348
Michael Olise,51178287.005182296
Michael Olise,25959960.589727424
Michael Olise,26694725.03560123
Michael Olise,18923066.34941932
Michael Olise,51587913.64652786
Michael Olise,61503348.88664516
Michael Olise,67760815.85806823
Michael Olise,39445326.29743752
Michael Olise,37289078.4605636
Michael Olise,25269260.57805515
Michael Olise,8234902.25453027
Michael Olise,38571975.230316125
Michael Olise,84501851.45527989
Michael Olise,39195623.56022194
Michael Olise,2364932.6950686714
Michael Olise,5026930.720952971
Michael Olise,13296815.063859913
Anthony Caci,7557630.430889301
Alexis ClaudeMaurice,5401089.335940698
Tiago Tomas,23566577.83936886
Atakan Karazor,17945759.858139686
Philipp Lienhart,3016596.5776562784
Robin Hack,-6850733.356558818
Alexis ClaudeMaurice,26323757.029996715
Jonas Wind,41709379.484686136
Mattias Svanberg,1603476.2633045837
